,locality,proprety_type,price,bedrooms,area,equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface,surface_plot,facades,swimming_pool,state
0,6061 Montignies-sur-Sambre,House,35000,3,,,,,,,,,,,2,, To restore
1,6183 Trazegnies,House,35000,2,,,,,,,,,,,2,,
2,6020 Dampremy,House,35000,2,,,,,,,,,,,,, To renovate
3,6592 Monceau-Imbrechies,House,35000,3,,,,,,,,,,,,,
4,7390 Quaregnon,House,35000,2,94,Installed,,,,,,,94,44,2,, To renovate
5,5575 Willerzie,House,35000,5,300,,,,,,,,300,300,2,, To restore
6,5620 Saint-Aubin,House,35000,2,,,,,,,,,,493,,,
7,6224 Wanferce-Baulet,House,35000,2,,,,,,,,,,160,,, To renovate
8,7012 Jemappes,House,35000,2,,,,,,,,,,,2,,
9,7860 Lessines,House,37500,3,,,,,,,,,,,2,,
10,5580 Jemelle,House,39000,2,120,Not installed,0.0,,,,1.0,10,120,99,2,, Good
11,8400 Oostende,EauPex,39000,,,,,,,,,,,,,,
12,6061 Montignies-sur-Sambre,Town-house,39000,2,,,0.0,,,,,,,310,,, As new
13,3920 Lommel,House,39000,2,,,,,,,,,,,,,
14,8200 Sint-Andries,House,39400,,15,,0.0,,,,,,15,,,0.0, Good
15,3920 Lommel,House,39500,2,,,,,,,,,,,,,
16,7100 HAINE-SAINT-PIERRE,House,39999,2,62,Not installed,0.0,,1.0,7,1.0,56,62,95,2,0.0, To renovate
17,5580 Rochefort Han-sur-Lesse,Studio,40000,,18,Semi equipped,,,,,,,18,,2,0.0, To renovate
18,4100 Seraing,House,40000,2,76,,,,,,,,76,114,2,, To renovate
19,7012 Jemappes,House,40000,2,94,,0.0,,,,,,94,150,2,, To renovate
20,8930 Menen,House,40000,2,49,,,,,,,,49,49,2,, To be done up
21,5550 Membre,Studio,40000,1,36,,,,,,,,36,,,,
22,4480 Engis,Apartment,40000,2,,Installed,,,,,,,,,2,,
23,7170 Manage,House,40000,3,,,,,,,,,,620,2,, To renovate
24,7390 Quaregnon,House,40000,2,60,,0.0,,,,,,60,,3,, To renovate
25,6567 Merbes-le-Chteau,House,40000,4,173,,,,,,,,173,370,2,,
26,7160 Chapelle-lez-Herlaimont,House,40000,2,,,,,,,,,,,2,,
27,7390 Quaregnon,House,40000,2,,Not installed,,,,,,,,,2,,
28,7350 Hensies,House,40000,1,,,0.0,,,,,,,162,3,,
29,5660 Brly,House,40000,2,,,,,,,,,,930,,,
30,6041 Gosselies,House,40000,2,,,,,,,,,,,,,
31,7131 Waudrez,House,40000,2,,,,,,,,,,442,2,,
32,7380 Quivrain,House,40000,4,,,,,,,,,,467,,,
33,6250 ROSELIES,Villa,40000,3,132,,0.0,,,,,,132,950,4,, Good
