,locality,proprety_type,price,bedrooms,area,equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface,surface_plot,facades,swimming_pool,state
0,7020 Nimy,House,160000,3,,,,,,,,,,,,,
1,6220 Lambusart,House,160000,3,,,,,,,,,,,,,
2,8500 Kortrijk,Apartment,160000,2,76,,,,,,,,76,,,0.0,
3,6150 Anderlues,Apartment,160000,1,85,,,,1.0,7,,,85,,,, As new
4,9930 Zomergem,House,160000,4,,,,,,,,,,448,4,,
5,1140 Evere,Studio,160000,,43,,0.0,,,,,,43,,,0.0,
6,3630 Maasmechelen,De Mispelaer,160302,,,,,,,,,,,,,,
7,9170 Sint-Gillis-Waas,Apartment,160325,2,,,,,1.0,9,,,,,,,
8,3670 Oudsbergen,Apartment,160370,1,59,,,,,,,,59,,,,
9,3670 Oudsbergen,Apartment,160370,1,59,,,,,,,,59,,,,
10,3670 Oudsbergen,Apartment,160371,1,59,,,,,,,,59,,,,
11,3670 Oudsbergen,Apartment,160371,1,59,,,,,,,,59,,,,
12,3670 Oudsbergen,Apartment,160372,1,59,,,,,,,,59,,,,
13,2370 Arendonk,Service flat,160400,1,66,,0.0,,1.0,12,,,66,,,, Good
14,1000 Brussels City,Urban Court,160500,,,,,,,,,,,,,,
15,4610 Beyne-Heusay,Apartment,160800,2,72,,,,1.0,4,,,72,,4,,
16,7000 Mons,Apartment,161000,1,,Hyper equipped,0.0,,1.0,7,,,,,3,, As new
17,1000 Bruxelles,Apartment,161000,1,60,Installed,1.0,,,,,,60,,2,0.0,
18,4101 JEMEPPE,House,161000,3,136,Not installed,0.0,,1.0,6,1.0,98,136,,3,, To be done up
19,7000 Mons,Apartment,161000,1,61,Installed,0.0,,1.0,23,,,61,,2,, As new
20,4420 Saint-Nicolas,Apartment,161000,1,65,Installed,0.0,,1.0,13,,,65,,,, Good
21,9040 Sint-Amandsberg,Apartment,161000,,45,Semi equipped,0.0,,1.0,22,,,45,,,0.0,
22,9040 Sint-Amandsberg,Apartment,161000,,45,Semi equipped,0.0,,1.0,22,,,45,,,0.0,
23,9000 Gent,Apartment,161000,,45,Semi equipped,0.0,,1.0,22,,,45,,,,
24,6060 Charleroi Gilly,House,161000,2,,Installed,,,1.0,15,,,,,2,,
25,8550 Zwevegem,Project Flux - Residentie Edison,161106,,,,,,,,,,,,,,
26,1060 Saint-Gilles,House,161200,1,,,,,,,,,,140,,,
27,8792 Desselgem,New real estate project - Apartments,161220,,,,,,,,,,,,,,
28,9600 Ronse,Service flat,161224,1,26,,,,,,,,26,,,,
29,9600 Ronse,Other properties,161224,13,,,1.0,,,,,,,,4,, As new
30,4950 Waimes,Rsidence du Vinve,161500,,,,,,,,,,,,,,
31,4030 Beyne-Heusay,Apartment,161500,2,72,Not installed,,,1.0,4,,,72,,4,,
32,8530 Harelbeke,Apartment,161500,1,90,,0.0,,,,,,90,,2,,
33,4040 Herstal,House,162000,3,110,,0.0,,1.0,30,1.0,150,110,240,2,, Good
34,8800 Roeselare,Bouwgrond en nieuwe wonin,162000,,,,,,,,,,,,,,
35,9900 Eeklo,Apartment,162000,2,89,,,,,,,,89,,2,,
36,8610 Kortemark,Loft,162000,,68,,,,1.0,12,,,68,,4,, As new
37,1070 Anderlecht,Apartment,162000,1,60,USA installed,0.0,,1.0,8,,,60,,,, Just renovated
38,1480 Tubize,Apartment,162000,1,59,USA installed,0.0,,,,,,59,,,0.0, As new
39,9140 Temse,Apartment,162000,2,61,Installed,0.0,,,,,,61,,2,0.0, Good
